PRFG-NUMMER;TITEL;TERMIN;BEGINN_ZEIT;ENDE_ZEIT;ORT_CODE_01;ORT_VON_01;ORT_BIS_01;ORT_EREIG_01;ORT_CODE_02;ORT_VON_02;ORT_BIS_02;ORT_EREIG_02;ORT_CODE_03;ORT_VON_03;ORT_BIS_03;ORT_EREIG_03;ORT_CODE_04;ORT_VON_04;ORT_BIS_04;ORT_EREIG_04;ORT_CODE_05;ORT_VON_05;ORT_BIS_05;ORT_EREIG_05;ORT_CODE_06;ORT_VON_06;ORT_BIS_06;ORT_EREIG_06;ORT_CODE_07;ORT_VON_07;ORT_BIS_07;ORT_EREIG_07;ORT_CODE_08;ORT_VON_08;ORT_BIS_08;ORT_EREIG_08;ORT_CODE_09;ORT_VON_09;ORT_BIS_09;ORT_EREIG_09;ORT_CODE_10;ORT_VON_10;ORT_BIS_10;ORT_EREIG_10;ORT_CODE_11;ORT_VON_11;ORT_BIS_11;ORT_EREIG_11;ORT_CODE_12;ORT_VON_12;ORT_BIS_12;ORT_EREIG_12;ORT_CODE_13;ORT_VON_13;ORT_BIS_13;ORT_EREIG_13;ORT_CODE_14;ORT_VON_14;ORT_BIS_14;ORT_EREIG_14;ORT_CODE_15;ORT_VON_15;ORT_BIS_15;ORT_EREIG_15;ORT_CODE_16;ORT_VON_16;ORT_BIS_16;ORT_EREIG_16;ORT_CODE_17;ORT_VON_17;ORT_BIS_17;ORT_EREIG_17;ORT_CODE_18;ORT_VON_18;ORT_BIS_18;ORT_EREIG_18;ORT_CODE_19;ORT_VON_19;ORT_BIS_19;ORT_EREIG_19;ORT_CODE_20;ORT_VON_20;ORT_BIS_20;ORT_EREIG_20;ORT_CODE_21;ORT_VON_21;ORT_BIS_21;ORT_EREIG_21;ORT_CODE_22;ORT_VON_22;ORT_BIS_22;ORT_EREIG_22;ORT_CODE_23;ORT_VON_23;ORT_BIS_23;ORT_EREIG_23;ORT_CODE_24;ORT_VON_24;ORT_BIS_24;ORT_EREIG_24;ORT_CODE_25;ORT_VON_25;ORT_BIS_25;ORT_EREIG_25;ORT_CODE_26;ORT_VON_26;ORT_BIS_26;ORT_EREIG_26;ORT_CODE_27;ORT_VON_27;ORT_BIS_27;ORT_EREIG_27;ORT_CODE_28;ORT_VON_28;ORT_BIS_28;ORT_EREIG_28;ORT_CODE_29;ORT_VON_29;ORT_BIS_29;ORT_EREIG_29;ORT_CODE_30;ORT_VON_30;ORT_BIS_30;ORT_EREIG_30
PH9017;Praktische Physik WZW;in Vorlesungszeit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MA3454;Non-Life Insurance;in Vorlesungszeit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WZ2014;Molekulare Pflanzenzüchtung;in Vorlesungszeit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WZ3202;Research Tools I;in Vorlesungszeit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WZ4136;Forstbetriebliche Informatik und wissenschaftliche Methoden;in Vorlesungszeit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WZ0086;Agrarökosysteme;in Vorlesungszeit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WZ3109;Regulation des Stoffwechsels;in Vorlesungszeit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WZ5039;Molekulare Biotechnologie;in Vorlesungszeit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BV000033;Massivbau - Ergänzungsmodul;in Vorlesungszeit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WZ0305;Entwicklungsgenetik der Pflanzen 1;in Vorlesungszeit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH1090;Einführung in die Organische Chemie;in Vorlesungszeit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WZ2017;Zellkulturtechnologie: Grundlagen und praktische Anwendungen;in Vorlesungszeit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WZ3107;Biofunktionalität der Lebensmittel (MBT);in Vorlesungszeit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WZ0092;Tierproduktionssysteme;in Vorlesungszeit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WI000192;Agrar- und Gartenbauökonomie I;in Vorlesungszeit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WZ0162;Forstplanung;in Vorlesungszeit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WZ3108;Toxikologie, Pharmakologie und Klinische Studien;in Vorlesungszeit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MW0019;Bioreaktoren;in Vorlesungszeit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
