LV_NUMMER;LV_TITEL;LV_SEMESTER;DATUM;ANZ_TEILNEHMER
AR-11102-2;Tragwerkslehre I;15S;27/07/2015;1
AR-11102-2;Tragwerkslehre I;15W;12/02/2016;1
AR-11106-1;Bauaufnahme und Vermessung;15S;31/07/2015;1
AR-11106-1;Bauaufnahme und Vermessung;15W;16/02/2016;1
AR-11108-2;Kunstgeschichte;15S;03/08/2015;1
AR-11112-2;Landschaftsarchitektur;15S;31/07/2015;1
AR-11112-2;Landschaftsarchitektur;15W;19/02/2016;1
AR-11114-2;Gebäudelehre;15S;29/07/2015;2
AR-11114-2;Gebäudelehre;15W;02/02/2016;1
AR-13102-2;Baurealisierung II;15S;27/07/2015;1
AR-13102-2;Baurealisierung II;15W;17/02/2016;1
AR-13103-1;Geschichte der Architekturtheorie;15W;17/02/2016;1
AR-13105-1;Stadtbaugeschichte;15S;28/07/2015;2
AR-13105-1;Stadtbaugeschichte;15W;22/02/2016;2
AR-13106-2;Städtebau I;15S;16/07/2015;1
AR-14104;Entwurf I, Prof. Frenkler;15W;03/02/2016;1
AR-14126;Entwurf I, Prof. Wolf;15S;22/07/2015;1
AR-14201;Entwurf II, Prof. Deubzer;15S;28/07/2015;2
AR-14210;Entwurf II, Prof. Hild;15W;12/02/2016;1
AR-14237;Entwurf 2 - Prof. Auer;15W;27/01/2016;2
AR-14720;Vertiefungsentwurf, Prof. Michaeli (Entwerfen und Städtebau);15S;15/07/2015;1
AR-15002-2;Technische Durcharbeitung eines Entwurfs;15S;17/09/2015;3
AR-15002-2;Technische Durcharbeitung eines Entwurfs;15W;11/03/2016;2
AR-16110-1;Computational Design;15S;30/07/2015;1
AR-16110-1;Computational Design;15W;31/12/2015;2
AR-16111-1;Arbeitssicherheit;15W;26/02/2016;1
AR-16205-1;Denkmalpflege;15S;24/08/2015;1
AR-16210-2;Raumgestaltung;15S;28/07/2015;1
AR-16302-2;Ländliches Bau- und Siedlungswesen Prüfung (VT Städtebau);15S;26/06/2015;1
AR-17003-1;Angewandtes Bauordnungsrecht;15S;06/08/2015;31
AR-17003-1;Angewandtes Bauordnungsrecht;15W;25/02/2016;108
AR17006;Aquarellieren;15S;31/07/2015;48
AR17006;Aquarellieren;15W;18/02/2016;1
AR-17011-2;Bauen für Alte und Behinderte;15S;07/08/2015;49
AR-17011-2;Bauen für Alte und Behinderte;15W;03/03/2016;27
AR-17015-1;Privates Baurecht und Architektenrecht;15S;24/08/2015;17
AR-17015-1;Privates Baurecht und Architektenrecht;15W;01/02/2016;137
AR-17024-1;Denkmalpflege;15S;24/08/2015;6
AR-17024-1;Denkmalpflege;15S;24/08/2015;6
AR-17029-1;Figürliches Zeichnen;15S;30/07/2015;50
AR-17029-1;Figürliches Zeichnen;15W;18/02/2016;64
AR-17029-1;Figürliches Zeichnen;15W;26/02/2016;1
AR17041;Klimagerechtes Bauen II;15S;04/08/2015;4
AR17041;Klimagerechtes Bauen II;15S;04/08/2015;77
AR-17042-2;Historische Tragwerke;15S;30/07/2015;39
AR-17048-2;Instandsetzen historischer Baukonstruktionen;15S;27/07/2015;16
AR-17048-2;Instandsetzen historischer Baukonstruktionen;15S;27/07/2015;1
AR17052;Kommunalwesen;15W;18/02/2016;17
AR-17054-1;Konzeptioneller Brandschutz;15W;04/03/2016;30
AR-17062-1;Planungsrecht in der städtebaulichen Praxis;15W;25/02/2016;3
AR-17065-2;Raumgestaltung;15S;28/07/2015;2
AR-17065-2;Raumgestaltung;15W;11/02/2016;30
AR-17065-2;Raumgestaltung;15W;16/02/2016;1
AR-17069-2;Sakralbau;15W;12/02/2016;19
AR-17075-1;Sonderthemen des Holzbaus;15S;23/07/2015;2
AR-17081-2;Städtebau und Stadtentwicklung;15S;16/07/2015;1
AR-17081-2;Städtebau und Stadtentwicklung;15W;18/01/2016;1
AR-17082-1;Strategie und Umsetzung in der städtebaulichen Praxis;15W;22/02/2016;29
AR-17083-2;Szenografische Übung;15S;29/06/2015;10
AR-17083-2;Szenografische Übung;15W;21/12/2015;25
AR-17093-1;Krankenhausbau I;15S;06/08/2015;8
AR-17093-1;Krankenhausbau I;15W;11/02/2016;14
AR-17095-1;Stadtplanung und Stadtgestalt in der Praxis;15W;29/02/2016;27
AR-17101-1;Städtebau / Walkscapes;15S;27/07/2015;33
AR-17107-1;Bauen mit Membranen;15S;30/07/2015;25
AR-17110-1;Angewandte Darstellungstechnik;15S;30/07/2015;15
AR17125;Fragestellungen zu Wissenschaft und Gesellschaft in Architektur und Städtebau;15S;20/07/2015;5
AR17125;Fragestellungen zu Wissenschaft und Gesellschaft in Architektur und Städtebau;15W;15/01/2016;22
AR17128-1;Interkulturelle Kommunikation mit Anti-Bias Ansatz;15W;21/11/2015;36
AR17128-1;Interkulturelle Kommunikation mit Anti-Bias Ansatz;15W;11/03/2016;25
AR-18101;Kurzentwurf Detail, Prof. Deubzer;15S;27/05/2015;12
AR-18101;Kurzentwurf Detail, Prof. Deubzer;15W;16/11/2015;12
AR-18104;Kurzentwurf Detail, Prof. Frenkler;15S;20/04/2015;8
AR-18127;Kurzentwurf Detail, Prof. Wolf;15S;23/06/2015;8
AR-18127;Kurzentwurf Detail, Prof. Wolf;15W;19/01/2016;14
AR-18201;Kurzentwurf Entwerfen, Prof. Deubzer;15W;16/11/2015;1
AR-18203;Kurzentwurf Entwerfen, Prof. Fink;15S;04/05/2015;8
AR-18203;Kurzentwurf Entwerfen, Prof. Fink;15W;02/11/2015;10
AR-18208;Kurzentwurf Entwerfen, Prof. Kaufmann;15W;30/11/2015;3
AR-18231;Kurzentwurf Entwerfen, Prof. Nagler;15S;10/06/2015;4
AR-18233;Kurzentwurf Entwerfen, Visiting Professorship in Emerging Technologies;15S;27/04/2015;5
AR-18233;Kurzentwurf Entwerfen, Visiting Professorship in Emerging Technologies;15S;27/04/2015;7
AR-18317;Kurzentwurf Städtebau, Prof. Wolfrum;15S;29/05/2015;26
AR-18317;Kurzentwurf Städtebau, Prof. Wolfrum;15W;20/11/2015;3
AR-18320;Kurzentwurf Städtebau, Prof. Michaeli;15S;15/06/2015;14
AR-18320;Kurzentwurf Städtebau, Prof. Michaeli;15W;14/12/2015;9
AR-18325;Kurzentwurf Städtebau, Prof. Krucker / Prof. Bates;15S;11/05/2015;6
AR-18325;Kurzentwurf Städtebau, Prof. Krucker / Prof. Bates;15W;09/11/2015;2
AR20001;Projektarbeit 1;15W;02/02/2016;3
AR20001;Projektarbeit 1;15W;02/02/2016;180
AR20002;Konstruktion 1;15S;29/07/2015;25
AR20002;Konstruktion 1;15W;24/02/2016;214
AR20002-03;Entwurfsmethodik + Gebäudelehre;15S;29/07/2015;3
AR20002-03;Entwurfsmethodik + Gebäudelehre;15W;24/02/2016;4
AR20002-04;Baukonstruktion 1;15S;29/07/2015;3
AR20002-04;Baukonstruktion 1;15W;24/02/2016;2
AR20003;Statik + Festigkeitslehre;15S;27/07/2015;47
AR20003;Statik + Festigkeitslehre;15W;12/02/2016;204
AR20003-01;Statik + Festigkeitslehre;15S;27/07/2015;35
AR20003-01;Statik + Festigkeitslehre;15W;12/02/2016;30
AR20003-02;Übungen zur Statik;15S;27/07/2015;35
AR20003-02;Übungen zur Statik;15W;12/02/2016;30
AR20004-01;Darstellen;15S;16/06/2015;1
AR20004-01;Darstellen;15S;23/07/2015;10
AR20004-01;Darstellen;15W;18/02/2016;7
AR20005;Projektarbeit 2;15S;14/07/2015;190
AR20005;Projektarbeit 2;15S;29/09/2015;9
AR20005;Projektarbeit 2;15W;02/02/2016;30
AR20005-01;Projektarbeit 2;15S;29/09/2015;11
AR20005-01;Projektarbeit 2;15W;02/02/2016;5
AR20005-02;Kurzentwurf;15S;29/09/2015;3
AR20005-02;Kurzentwurf (Modul 5P);15W;02/02/2016;2
AR20006;Konstruktion 2;15S;04/08/2015;203
AR20006;Konstruktion 2;15W;29/02/2016;29
AR20006-01;Gebäudelehre;15S;04/08/2015;2
AR20006-02;Baukonstruktion 2;15S;04/08/2015;3
AR20006-03;Gebäudetypologie;15S;04/08/2015;10
AR20006-03;Gebäudetypologie;15W;29/02/2016;5
AR20006-04;Baukonstruktion 2;15S;04/08/2015;9
AR20006-04;Baukonstruktion 2;15W;29/02/2016;5
AR20007;Tragkonstruktionen;15S;27/07/2015;271
AR20007;Tragkonstruktionen;15W;12/02/2016;53
AR20007-01;Tragkonstruktionen;15S;27/07/2015;91
AR20007-01;Tragkonstruktionen;15W;12/02/2016;40
AR20007-02;Übungen zu Tragkonstruktionen;15S;27/07/2015;91
AR20007-02;Übungen zu Tragkonstruktionen;15W;12/02/2016;40
AR20008;Baugeschichte;15S;30/07/2015;210
AR20008;Baugeschichte;15W;16/02/2016;39
AR20008-01;Baugeschichte;15S;30/07/2015;8
AR20008-01;Baugeschichte;15W;16/02/2016;5
AR20008-02;Historische Bauformen und Baukonstruktionen;15S;30/07/2015;9
AR20008-02;Historische Bauformen und Baukonstruktionen;15W;16/02/2016;5
AR20009-01;Darstellen;15S;16/06/2015;1
AR20009-01;Darstellen;15S;23/07/2015;23
AR20009-01;Darstellen;15W;18/02/2016;13
AR20009-02;Gestalten;15S;23/07/2015;5
AR20009-02;Gestalten;15W;18/02/2016;4
AR20010;Projektarbeit 3 mit Kurzentwurf;15W;03/02/2016;196
AR20011;Konstruktion 3;15S;05/08/2015;27
AR20011;Konstruktion 3;15S;05/08/2015;36
AR20011;Konstruktion 3;15W;17/02/2016;221
AR20011-01;Werkstoffe;15S;05/08/2015;18
AR20011-01;Werkstoffe;15S;05/08/2015;18
AR20011-01;Werkstoffe;15W;17/02/2016;23
AR20011-02;Baukonstruktion 3;15S;05/08/2015;18
AR20011-02;Baukonstruktion 3;15S;05/08/2015;18
AR20011-02;Baukonstruktion 3;15W;17/02/2016;23
AR20012;Bauklimatik und Haustechnik;15S;31/07/2015;30
AR20012;Bauklimatik und Haustechnik;15W;19/02/2016;24
AR20012;Bauklimatik und Haustechnik;15W;19/02/2016;176
AR20012-01;Grundlagen der Bauphysik und Haustechnik;15S;31/07/2015;10
AR20012-01;Grundlagen der Bauphysik und Haustechnik;15W;19/02/2016;8
AR20012-02;Grundlagen der Energieversorgung von Gebäuden;15S;31/07/2015;10
AR20012-02;Grundlagen der Energieversorgung von Gebäuden;15W;19/02/2016;4
AR20013-01;Architekturgeschichte;15S;03/08/2015;21
AR20013-01;Architekturgeschichte;15W;25/02/2016;205
AR20014;Digitale Formfindung;15S;24/07/2015;11
AR20014;Digitale Formfindung;15W;16/02/2016;198
AR20014-01;CAAD;15S;24/07/2015;8
AR20014-01;CAAD;15W;16/02/2016;3
AR20014-02;Digitale Formfindung;15S;24/07/2015;4
AR20014-02;Digitale Formfindung;15W;16/02/2016;3
AR20015-05;Projektarbeit 4 (Prof. Wolfrum);15S;20/07/2015;2
AR20015-05;Projektarbeit 4 (Prof. Wolfrum);15W;17/02/2016;2
AR20015-06;Kurzentwurf (Prof. Wolfrum);15S;20/07/2015;2
AR20015-06;Kurzentwurf (Prof. Wolfrum);15W;17/02/2016;1
AR20015-07;Projektarbeit 4 mit Kurzentwurf (Prof. Krucker/ Prof. Bates);15S;13/07/2015;54
AR20015-08;Projektarbeit 4 mit Kurzentwurf (Prof. Michaeli);15S;20/07/2015;37
AR20015-09;Projektarbeit 4 mit Kurzentwurf (Prof. Wolfrum);15S;20/07/2015;59
AR20015-09;Projektarbeit 4 mit Kurzentwurf (Prof. Wolfrum);15W;17/02/2016;4
AR20016-01;Städtebau - Prof. Wolfrum;15S;22/07/2015;8
AR20016-01;Städtebau - Prof. Wolfrum;15W;17/02/2016;6
AR20016-02;Urbanistische Modelle - Prof. Wolfrum;15S;22/07/2015;8
AR20016-02;Urbanistische Modelle - Prof. Wolfrum;15W;17/02/2016;6
AR20016-05;Städtebau / Urbanistische Modelle;15S;22/07/2015;156
AR20016-05;Städtebau / Urbanistische Modelle;15S;30/09/2015;1
AR20016-05;Städtebau / Urbanistische Modelle;15S;30/09/2015;41
AR20016-05;Städtebau / Urbanistische Modelle;15W;17/02/2016;8
AR20016-05;Städtebau / Urbanistische Modelle;15W;21/03/2016;1
AR20017-01;Raumökonomie;15S;28/07/2015;37
AR20017-01;Raumökonomie;15S;28/07/2015;159
AR20017-01;Raumökonomie;15W;26/02/2016;19
AR20017-01;Raumökonomie;15W;26/02/2016;14
AR20018-01;Stadtbaugeschichte;15S;28/07/2015;216
AR20018-01;Stadtbaugeschichte;15W;22/02/2016;53
AR20019;Bildnerisches Gestalten;15S;08/07/2015;154
AR20019;Bildnerisches Gestalten;15W;23/02/2016;4
AR20019-01;Bildnerische Praxis;15S;08/07/2015;2
AR20019-02;Rauminterventionen;15S;08/07/2015;2
AR20020;Projektarbeit 5 mit Kurzentwurf - Lehrstuhl für Grundlagen der Gestaltung und Darstellung;15W;26/01/2016;2
AR20021-1;Tragwerksentwurf;15W;18/02/2016;27
AR20021-1;Tragwerksentwurf;15W;31/03/2016;1
AR20022;Städtische Architektur;15S;20/07/2015;14
AR20022;Städtische Architektur;15S;20/07/2015;1
AR20022;Städtische Architektur;15W;15/02/2016;51
AR20023;Architektur- und Designtheorie;15S;27/07/2015;1
AR20023;Architektur- und Designtheorie;15S;27/07/2015;44
AR20023;Architektur- und Designtheorie;15W;24/02/2016;2
AR20023;Architektur- und Designtheorie;15W;24/02/2016;218
AR20025;Grundlagen im Planungsrecht;15W;22/02/2016;102
AR20026-1;Experimentelles Gestalten I;15S;02/07/2015;2
AR20026-1;Experimentelles Gestalten I;15W;28/01/2016;22
AR20026-1;Experimentelles Gestalten I;15W;29/01/2016;42
AR20026-1;Experimentelles Gestalten I;15W;04/02/2016;4
AR20027-01;Wissenschaftliches Arbeiten;15S;30/07/2015;6
AR20027-01;Wissenschaftliches Arbeiten;15W;26/02/2016;4
AR20028-01;Kunstgeschichte;15S;26/08/2015;3
AR20028-01;Kunstgeschichte;15S;26/08/2015;112
AR20028-01;Kunstgeschichte;15W;14/03/2016;240
AR20029-01;Exkursion Darstellen;15S;30/06/2015;235
AR20029-01;Exkursion Darstellen;15W;18/02/2016;15
AR20030-01;Exkursion Baugeschichte + Bildnerisches Gestalten;15S;30/06/2015;158
AR20030-01;Exkursion Baugeschichte + Bildnerisches Gestalten;15W;15/03/2016;9
AR20032-11;Bachelor's Kolloquium Prof. Lang ;15W;05/02/2016;1
AR20032-13;Bachelor's Kolloquium Prof. Kaufmann;15W;05/02/2016;1
AR20032-14;Bachelor's Kolloquium Gastprofessur Emerging Technologies;15S;10/07/2015;9
AR20032-15;Bachelor's Kolloquium Prof. Nagler;15S;10/07/2015;30
AR20032-17;Bachelor's Kolloquium Prof. Erben;15S;09/07/2015;3
AR20032-17;Bachelor's Kolloquium Prof. Erben;15W;05/02/2016;1
AR20032-18;Bachelor's Kolloquium Prof. Lepik;15S;10/07/2015;3
AR20032-19;Bachelor's Kolloquium Prof. Petzold;15S;10/07/2015;1
AR20032-20;Bachelor's Kolloquium Prof. Trüby;15S;10/07/2015;6
AR20032-20;Bachelor's Kolloquium Prof. Trüby;15W;05/02/2016;1
AR20032-3;Bachelor's Kolloquium Prof. Deubzer;15S;10/07/2015;23
AR20032-3;Bachelor's Kolloquium Prof. Deubzer;15W;05/02/2016;1
AR20032-4;Bachelor's Kolloquium Prof. Fink;15S;10/07/2015;34
AR20032-4;Bachelor's Kolloquium Prof. Fink;15W;05/02/2016;1
AR20032-5;Bachelor's Kolloquium Prof. Hild;15S;10/07/2015;14
AR20032-6;Bachelor's Kolloquium Prof. Krucker/Bates;15S;10/07/2015;5
AR20032-6;Bachelor's Kolloquium Prof. Krucker/Bates;15W;05/02/2016;2
AR20032-7;Bachelor's Kolloquium Prof. Wolf;15S;10/07/2015;2
AR20032-8;Bachelor's Kolloquium Prof. Michaeli;15S;10/07/2015;9
AR20032-9;Bachelor's Kolloquium Prof. Wolfrum;15S;10/07/2015;17
AR20033-1;Bauen im Bestand;15S;24/08/2015;2
AR20033-1;Bauen im Bestand;15W;12/02/2016;133
AR20034-1;Gestalttheorie;15W;10/03/2016;15
AR20034-1;Gestalttheorie;15W;10/03/2016;11
AR20035;Bauaufnahme + Bauforschung;15S;28/07/2015;77
AR20035-1;Bauaufnahme + Bauforschung;15S;28/07/2015;1
AR20035-1;Bauaufnahme + Bauforschung;15S;28/07/2015;3
AR20036;Architekturvermittlung (Museum);15S;03/08/2015;18
AR20036;Architekturvermittlung (Museum);15W;12/02/2016;17
AR20037-1;Architekturgeschichtliche Übungen;15S;26/08/2015;19
AR20037-1;Architekturgeschichtliche Übungen;15W;14/03/2016;31
AR20038;Baugeschichte Fortgeschrittene;15S;28/07/2015;0
AR20038;Baugeschichte Fortgeschrittene;15W;22/02/2016;13
AR20039-1;Digitales Entwerfen;15S;13/08/2015;12
AR20039-1;Digitales Entwerfen;15W;26/02/2016;1
AR20039-1;Digitales Entwerfen;15W;26/02/2016;22
AR20040;Projektarbeit 5 mit Kurzentwurf - Prof. Deubzer;15S;29/07/2015;9
AR20040;Projektarbeit 5 mit Kurzentwurf - Prof. Deubzer;15W;08/02/2016;26
AR20041;Projektarbeit mit Kurzentwurf -  Prof. Hild;15W;02/02/2016;34
AR20042;Projektarbeit 5 mit Kurzentwurf - Prof. Nagler;15S;21/07/2015;10
AR20043;Projektarbeit 5 mit Kurzentwurf - Prof. Kaufmann;15W;02/02/2016;16
AR20045;Projektarbeit 5 mit Kurzentwurf - Visiting Professorship Emerging Technologies;15W;27/01/2016;34
AR20046;Projektarbeit 5 mit Kurzentwurf - Prof. Fink;15S;07/07/2015;19
AR20046;Projektarbeit 5 mit Kurzentwurf - Prof. Fink;15W;26/01/2016;21
AR20046;Projektarbeit 5 mit Kurzentwurf - Prof. Fink;15W;26/01/2016;22
AR20051;Projektarbeit 5 mit Kurzentwurf - Prof. Krucker / Prof. Bates;15S;13/07/2015;14
AR20051;Projektarbeit 5 mit Kurzentwurf - Prof. Krucker / Prof. Bates;15W;01/02/2016;28
AR20052;Projektarbeit 5 mit Kurzentwurf - Prof. Michaeli;15S;15/07/2015;6
AR20052;Projektarbeit 5 mit Kurzentwurf - Prof. Michaeli;15W;02/02/2016;24
AR20054;Modellbaukurs;15S;20/05/2015;2
AR20054;Modellbaukurs;15S;24/08/2015;4
AR20056-1;Digital Prototyping;15S;24/08/2015;9
AR20058;Möbeldesign + Raumgestaltung;15W;11/02/2016;10
AR20059;European Mega City Regions;15S;06/07/2015;21
AR20059;European Mega City Regions;15W;18/01/2016;1
AR20059;European Mega City Regions;15W;18/01/2016;33
AR20061;Robot Oriented Design;15W;23/02/2016;4
AR20062;Bauklimatik;15W;18/02/2016;0
AR20064;Möbeldesign;15W;21/01/2016;17
AR20066;Baugeschichte 1 (Bachelor Level);15S;30/07/2015;3
AR20066;Baugeschichte 1 (Bachelor Level);15W;16/02/2016;4
AR20067;Baugeschichte 2 (Bachelor Level);15W;16/02/2016;8
AR20069;Experimentelles Gestalten II;15S;02/07/2015;0
AR20069;Experimentelles Gestalten II;15W;28/01/2016;1
AR20071;Wissenschaftliches Arbeiten;15S;30/07/2015;16
AR20071;Wissenschaftliches Arbeiten;15W;26/02/2016;185
AR20072;Grundlagen der Darstellung;15S;23/07/2015;261
AR20072;Grundlagen der Darstellung;15S;30/09/2015;1
AR20072;Grundlagen der Darstellung;15W;18/02/2016;39
AR20073;Grundlagen der Gestaltung;15S;23/07/2015;250
AR20073;Grundlagen der Gestaltung;15W;18/02/2016;14
AR20074;München und seine Bauten;15S;04/08/2015;25
AR20074;München und seine Bauten;15W;23/02/2016;1
AR20078;Hülle und Bauklimatik Grundlagen;15W;18/02/2016;90
AR20083;Schnittstelle Architektur;15S;31/07/2015;18
AR20083;Schnittstelle Architektur;15W;03/03/2016;5
AR20084;Raumgestaltung Grundlagen;15S;28/07/2015;1
AR20084;Raumgestaltung Grundlagen;15W;11/02/2016;73
AR20088;Architekturvisualisierung;15S;27/07/2015;19
AR20089;Describing Architecture;15S;31/07/2015;2
AR20091;Ergänzende Einführung Städtebau;15S;28/07/2015;10
AR20092;Freie Studienarbeit Sustainable Urbanism;15S;27/07/2015;2
AR20092;Freie Studienarbeit Sustainable Urbanism;15W;22/02/2016;3
AR20093;Digitale Fotografie - Grundlagen;15S;29/04/2015;12
AR20093;Digitale Fotografie - Grundlagen;15W;09/12/2015;4
AR20095;Öffentlicher Architekturdiskurs;15S;13/07/2015;8
AR20095;Öffentlicher Architekturdiskurs;15W;01/02/2016;9
AR20097;Lecture Series 2: Sustainable Building and Technologies;15W;16/12/2015;73
AR20098;Lecture Series 1: Urban and Landscape Transformation;15W;21/12/2015;61
AR20099;Gebäudelehre I;15S;15/07/2015;10
AR20100;Lecture Series 3: Cultural Heritage, History and Criticism;15S;06/07/2015;79
AR20101;Lecture Series 4: Architectural Design;15S;29/06/2015;60
AR20102;Bachelor's Real Studio Building Phase I;15S;26/08/2015;6
AR20103;Bachelor's Real Studio Building Phase II;15S;26/08/2015;2
AR20103;Bachelor's Real Studio Building Phase II;15W;02/02/2016;13
AR20104;Typologien;15S;13/07/2015;16
AR20105;Projektarbeit 5 (mit Kurzentwurf);15W;02/02/2016;5
AR20106-1;Architektur- und Kulturtheorie;15W;02/02/2016;2
AR20107;Übung zu Architektur- und Kulturtheorie;15W;02/02/2016;2
AR20109;Integrierte Disziplin 1;15W;01/02/2016;17
AR20111;Gebäude im Bestand - Recherchestrategien;15W;08/03/2016;32
AR30002-1;Raumökonomie - Urban and Spatial Sciences;15W;18/02/2016;28
AR30009;Integriertes Bauen I & II;15S;27/07/2015;1
AR30009;Integriertes Bauen I & II;15W;15/02/2016;1
AR30010;Hülle und Bauklimatik Vertiefung;15S;29/07/2015;3
AR30010;Hülle und Bauklimatik Vertiefung;15S;29/07/2015;39
AR30010;Gebäudehülle und Bauklimatik;15W;23/02/2016;1
AR30011;Structural Design;15W;17/02/2016;35
AR30012;Arbeitssicherheit;15S;31/07/2015;20
AR30013;Projekt 3 - Prof. Fink;15S;07/07/2015;3
AR30014;Biogene Baustoffe;15S;28/07/2015;3
AR30014;Biogene Baustoffe;15W;18/02/2016;107
AR30015;Gebäudetypologien II;15S;28/07/2015;2
AR30015;Gebäudetypologien II;15W;24/02/2016;1
AR30017-1;Globale Entwicklungen;15W;18/01/2016;1
AR30017-2;Ökonomie des Raumes - Wissenschaftliche Methoden;15S;06/07/2015;3
AR30017-2;Ökonomie des Raumes - Wissenschaftliche Methoden;15W;18/02/2016;3
AR30020;Urban Habitat;15W;18/01/2016;27
AR30021;Socio Technical Systems;15S;27/07/2015;10
AR30022;Geschichte der Architekturtheorie;15S;29/07/2015;4
AR30022;Geschichte der Architekturtheorie;15W;17/02/2016;53
AR30023;Geschichte und Theorie des Städtebaus I;15S;20/07/2015;1
AR30023;Geschichte und Theorie des Städtebaus I;15S;20/07/2015;1
AR30023;Geschichte und Theorie des Städtebaus I;15W;24/02/2016;15
AR30023;Geschichte und Theorie des Städtebaus I;15W;25/02/2016;8
AR30026;Baugeschichte und Baudokumentation;15S;28/07/2015;1
AR30027;Theorie der Denkmalpflege;15S;20/08/2015;4
AR30027;Theorie der Denkmalpflege;15S;20/08/2015;2
AR30027;Theorie der Denkmalpflege I;15W;12/02/2016;2
AR30029;ClimaDesign und Erneuerbare Energieversorgung;15S;14/07/2015;45
AR30029;ClimaDesign und Erneuerbare Energieversorgung;15S;14/07/2015;5
AR30032;Gestalten;15S;28/07/2015;2
AR30033;Freie Kunst;15W;15/02/2016;13
AR30036;Projektseminar - Energiekonzepte ;15S;27/07/2015;44
AR30044;Adaptive Gebäudekonzepte;15S;31/07/2015;2
AR30044;Adaptive Gebäudekonzepte;15S;06/08/2015;39
AR30044;Adaptive Gebäudekonzepte;15W;12/02/2016;40
AR30046;Städtebau;15S;27/07/2015;1
AR30046;Städtebau;15W;15/02/2016;40
AR30047-1;Projekt Urban Landscape II - Prof. Wolfrum;15S;14/07/2015;1
AR30048-1;Projekt Urban Landscape III - Prof. Wolfrum;15W;26/02/2016;3
AR30048-2;Projekt Urban Landscape III - Prof. Michaeli;15S;15/07/2015;1
AR30048-2;Projekt Urban Landscape III - Prof. Michaeli;15W;03/02/2016;6
AR30048-4;Projekt Urban Landscape III - Prof. Thierstein;15W;27/01/2016;2
AR30048-5;Projekt Urban Landscape III - Prof. Keller;15S;16/07/2015;1
AR30048-5;Projekt Urban Landscape III - Prof. Keller;15W;04/02/2016;2
AR30048-7;Projekt Urban Landscape III - Prof. Schöbel;15W;16/03/2016;2
AR30049;Architektur in Extrembedingungen I: Weltall, Wüste, Wasser;15W;16/02/2016;78
AR30052-1;Reflexion - Prof. Wolfrum;15W;09/02/2016;5
AR30052-2;Reflexion - Prof. Michaeli;15S;15/07/2015;2
AR30052-2;Reflexion - Prof. Michaeli;15W;03/02/2016;5
AR30052-4;Reflexion - Prof. Thierstein;15S;09/07/2015;4
AR30052-4;Reflexion - Prof. Thierstein;15W;25/02/2016;5
AR30052-5;Reflexion - Prof. Keller;15W;04/02/2016;2
AR30055-1;Automatisierung und Robotik im Bauwesen;15W;22/02/2016;3
AR30057-1;Integriertes Projekt 1;15S;29/07/2015;10
AR30058-1;Industrialisierungsstrategien in Architektur und Bauwesen;15S;16/07/2015;16
AR30059-1;Integriertes Projekt 2;15S;29/07/2015;2
AR30059-1;Integriertes Projekt 2;15W;24/02/2016;10
AR30060-1;Incubator;15S;29/07/2015;2
AR30060-1;Incubator;15W;23/02/2016;10
AR30071;Raumtheorie + Raumgestaltung;15S;28/07/2015;3
AR30071;Raumtheorie + Raumgestaltung;15W;16/02/2016;31
AR30072;Raumtheorie;15S;28/07/2015;4
AR30072;Raumtheorie;15W;16/02/2016;3
AR30072;Raumtheorie;15W;16/02/2016;7
AR30075;Lektürekurs zur Architekturtheorie ;15S;26/08/2015;10
AR30075;Lektürekurs zur Architekturtheorie ;15W;14/03/2016;24
AR30076;Architekturanalyse;15S;31/07/2015;29
AR30076;Architekturanalyse;15W;11/03/2016;21
AR30083;Building Register;15S;16/07/2015;12
AR30083;Building Register;15W;04/02/2016;9
AR30085;Projekt 1 - Prof. Michaeli;15S;15/07/2015;1
AR30086;Beyond Urban Image - Stadtraum und Fotografie;15S;30/07/2015;38
AR30086;Beyond Urban Image - Stadtraum und Fotografie;15W;25/02/2016;56
AR30088;Projekt Urban Landscape I - Prof. Thierstein;15W;26/01/2016;17
AR30095;Künstlerische Projekte I;15S;23/07/2015;3
AR30095;Künstlerische Projekte I;15W;17/12/2015;2
AR30095;Künstlerische Projekte I;15W;17/12/2015;2
AR30095;Künstlerische Projekte I;15W;17/12/2015;1
AR30096;Künstlerische Projekte II;15S;23/07/2015;5
AR30096;Künstlerische Projekte II;15W;15/02/2016;11
AR30097;Analyse, Visualisierung, Kommunikation I;15S;09/07/2015;10
AR30097;Analyse, Visualisierung, Kommunikation I;15W;11/12/2015;9
AR30100;Baugeschichte 1 (Master Level);15W;16/02/2016;2
AR30101;Baugeschichte 2 (Master Level);15W;16/02/2016;3
AR30102;Baugeschichte 3 (Master Level);15W;16/02/2016;2
AR30105;Architektursystematik;15S;24/09/2015;2
AR30105;Architektursystematik;15W;14/03/2016;6
AR30107;Material + Architektur;15S;16/07/2015;46
AR30107;Material + Architektur;15S;31/07/2015;1
AR30107;Material + Architektur;15W;28/01/2016;17
AR30107;Material + Architektur;15W;28/01/2016;1
AR30108;Hüllkonstruktionen Sonderthemen - Adaptiv ;15S;30/07/2015;4
AR30108;Hüllkonstruktionen Sonderthemen - Adaptiv ;15W;29/01/2016;2
AR30109;Hüllkonstruktionen Sonderthemen - Gebäudehülle und Bestand ;15W;25/03/2016;6
AR30110;Projekt 2 - Prof. Fink;15S;07/07/2015;3
AR30113;Projekt 2 - Prof. Deubzer;15S;28/07/2015;2
